,岗位类型,岗位职责,任职要求
0,产品运营,1.负责产品上线前后的线上、线下的运营方案和推广工作，协助项目负责人对接市场、产品开发等，完成个项目目标；2.负责产品运营中与线下的各种合作，配合完成商务推广，实施项目评估和监控，提升用户活跃度和忠诚度；3.负责研究行业竞争动态，定期拜访客户，维护重要客户关系发现客户的需求，引导客户的业务需求，根据自身产品制定产品营销策略，达成既定目标；4.负责分析和挖掘产品运营数据、用户行为数据等重要价值信息5.负责跟进和整理产品用户反馈，协同产品经理提出产品迭代方案。,1.2年及以上产品运营经验；2.主动性强，逻辑清晰，沟通能力强，能独立负责和落地运营项目能调动资源为运营目标服务；3.有较强数据分析能力、数据敏感性强。
1,平面设计师,1.负责公司公众号的维护和内容推送；2.短视频相关内容的文案脚本策划，视频制作及编辑。并结合公司宣传计划，不断优化视频内容；3.协助其他平面设计、视频编辑等内容。,1.大专及以上学历，1-2年相关工作经验；2.熟悉平面设计软件及视频剪辑等，设计感好；3.工作责任心强，沟通及理解能力强。
2,财务,1.全面负责财务部的日常管理工作；2.组织制定财务方面的管理制度及有关规定，并监督执行；3.向公司提供各项财务报告和必要的财务分析；4.监控可能会对公司造成经济损失的重大经济合同；5.有独立处理账务和税务的能力者优先；6.有全盘账务处理，税务工作，年度汇算清缴能力者优先；7.公司资质和合同的归档保管工作；8.完成上级领导交代的其他日常工作任务。,1.本科及以上学历；2.通晓财会专业知识，熟悉国家有关财务、会计、税收政策和实务；3.有互联网行业相关经验优先；4.原则性强，沟通能力佳，有良好的团队协作意识。
3,市场营销,1.根据公司发展方向及阶段性目标，制定品牌战略、推广策略等年度经营方案；2.参与各产品推广筹划方案的制定与执行；3.负责企业整体形象的定位与维护，建立完整的产品口碑营销方案及公司形象推广方案；4.负责与新媒体及知名媒体进行沟通，开展长期良好合作；5.负责制作与推广公司各类宣传资料，完善对外各类宣传通稿；6.负责为公司的知识产权、荣誉资质等进行申请、维护与宣传。,1.熟练使用办公软件，可以独立制作表格、PPT等；2.良好的沟通能力，善于维护客户关系；3.有拓展、策划经验能力者优先考虑。4.本科以上5.10年以上相关工作经验
4,项目主管,1.责任项目的整体管理；2.项目的订单下单、样板配合；3.产品批量安装的现场、质量、进度、成本的管理；4.项目的沟通协调管理和售后维护工作；5.工程回款及安装款结算工作；6.安装队及文明生产的管理工作；7.项目管理的档案化建设与管理的工作。,1.熟练操作使用WORD/EXCEL/等办公软件；2.工作严谨、认真、细致，有良好的执行力；3.熟悉本行业的规范，具有良好沟通及协调能力；4.本科以上5.3年以上项目主管经验
5,开发工程师,1.负责公司产品运营相关网站后端快速响应开发；2.负责公司运营支持相关系统开发；3.负责设计和开发一些内部工具，提高网站整体性开发效益，保证一定的质量；4.负责相关APP接口开发；5.配合移动部门与产品部门实现服务器端相关接口开发。,1.学历本科以上，计算机相关专业；2.3年以上软件开发经验；3.熟悉JAVA语言，有APP开发经验。
6,文员,1.接听、转接电话;接待来访人员；2.负责办公室的文秘、信息、机要和保密工作，做好办公室档案收集、整理工作；3.做好会议纪要；4.负责公司公文、信件、邮件、报刊杂志的分送；5.负责传真件的收发工作；6.负责办公室仓库的保管工作，做好物品出入库的登记；7.做好公司宣传专栏的组稿；8.按照公司印信管理规定，保管使用公章，并对其负责；,1.25岁以上，一年以上相关工作经验；2.大专以上学历:3.熟练使用办公软件，处理日常办公业务，管理施工档案，有装饰公司工作经验者优先；4.具有全面的工作计划、对外沟通及应变等能力；
7,电商运营,1.负责每日各类日商品的挑品并制定各个品类商品的挑品标准；2.分析商品各项运营数据建立数据模型，并优化商品挑品标准；3.对各类目下商品内容的完整性和美观性负责；4.了解和研究其它购物平台商品选品的特性，研究各品类商品的用户喜好；5.编辑优选商品的推荐理由并对用户提交的推荐理由进行审核；6.和平台用户及商家的沟通；7.其它一些交待的工作任务。,1.2 年及以上电商运营工作阅历，例如天猫或者小程序电商 阅历2.较为完整的电商学问体系，缜密的分析规律力量以及完整 的电商思维框架3.执行力量强，优秀的沟通协调力量、书面表达力量、规律思维力量
8,人力资源管理,1.协助上级建立健全公司招聘、培训、工资、保险、福利、绩效考核等人力资源制度建设2.建立、维护人事档案，办理和更新劳动合同;3.执行人力资源管理各项实务的操作流程和各类规章制度的实施，配合其他业务部门工作；4.执行招聘工作流程，协调、办理员工招聘、入职、离职、调任、升职等手续5.协同开展新员工入职培训，业务培训，执行培训计划，联系组织外部培训以及培训效果的跟踪、反馈;6.负责员工工资结算和年度工资总额申报，办理相应的社会保险等8、帮助建立员工关系，协调员工与管理层的关系，组织员工的活动。,"1.大专以上学历;2.两年以上人力资源工作经验;3.熟悉人力资源管理各项实务的操作流程,熟悉国家各项劳动人事法规政策,并能实际操作运用;"
9,风控专员,1、制定公司风险管理的目标，制度，流程。2、建立项目风险管理体系，推进公司内外部风险的全面防范与控制。 3、熟悉金融市场、房产市场、二手车买卖相关法律法规及信贷风险防范识别、监控、化解体系4、完成上级领导临时交办的其他任务。,1、熟悉各种汇率、期权的定义与应用2、熟悉境内外各银行理财产品操作:3、熟悉EXCEL操作，有数据统计和分析能力4、专业要求:金融、国际贸易.5、硕士以上6、5年以上相关工作经验
